"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Size","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","CalCOFI"
1,"NH",56,"CB",1,292,38.5,1,33.485,-122.526667,80,80,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",59,"CB",1,105,36.5,1,33.385,-124.323333,76.7,100,"Argyropelecus sladeni",2000,"1",1
1,"NH",59,"CB",1,292,27.2,1,33.385,-124.323333,76.7,100,"Stenobrachius leucopsarus",2000,"1",1
1,"NH",63,"CB",1,292,30.7,1,34.72167,-121.55,76.7,60,"Stenobrachius leucopsarus",2000,"1",1
4,"JD",3,"CB",1,301,26.2,1,32.84667,-117.531667,93.3,30,"Triphoturus mexicanus",2000,"4",1
4,"JD",3,"CB",1,301,28.3,1,32.84667,-117.531667,93.3,30,"Triphoturus mexicanus",2000,"4",1
4,"JD",4,"CB",1,260,36.1,1,32.68167,-117.873333,93.3,35,"Nannobrachium ritteri",2000,"4",1
4,"JD",7,"CB",1,105,27.3,1,32.18167,-118.888333,93.3,50,"Argyropelecus sladeni",2000,"4",1
4,"JD",7,"CB",1,161,80.5,1,32.18167,-118.888333,93.3,50,"Idiacanthus antrostomus",2000,"4",1
4,"JD",7,"CB",1,301,21.8,1,32.18167,-118.888333,93.3,50,"Triphoturus mexicanus",2000,"4",1
4,"JD",9,"CB",1,301,21.4,1,31.84667,-119.566667,93.3,60,"Triphoturus mexicanus",2000,"4",1
4,"JD",9,"CB",1,301,27.4,1,31.84667,-119.566667,93.3,60,"Triphoturus mexicanus",2000,"4",1
4,"JD",12,"CB",1,105,21.8,1,30.84667,-121.59,93.3,90,"Argyropelecus sladeni",2000,"4",1
4,"JD",12,"CB",1,239,19.6,1,30.84667,-121.59,93.3,90,"Diogenichthys atlanticus",2000,"4",1
4,"JD",18,"CB",1,58,26.2,1,31.085,-122.665,90,100,"Microstoma",2000,"4",1
4,"JD",23,"CB",1,301,45.8,1,32.65167,-119.481667,90,53,"Triphoturus mexicanus",2000,"4",1
4,"JD",24,"CB",1,260,45,1,32.91833,-118.938333,90,45,"Nannobrachium ritteri",2000,"4",1
4,"JD",24,"CB",1,292,43.3,1,32.91833,-118.938333,90,45,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",24,"CB",1,301,30.2,1,32.91833,-118.938333,90,45,"Triphoturus mexicanus",2000,"4",1
4,"JD",24,"CB",1,301,33.1,1,32.91833,-118.938333,90,45,"Triphoturus mexicanus",2000,"4",1
4,"JD",28,"CB",1,353,188,1,33.485,-117.768333,90,28,"Facciolella gilberti",2000,"4",1
4,"JD",34,"CB",1,227,31.6,1,33.15833,-120.006667,86.7,55,"Diaphus theta",2000,"4",1
4,"JD",34,"CB",1,292,37.1,1,33.15833,-120.006667,86.7,55,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",34,"CB",1,292,48.8,1,33.15833,-120.006667,86.7,55,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",35,"CB",1,260,34.6,1,32.99167,-120.348333,86.7,60,"Nannobrachium ritteri",2000,"4",1
4,"JD",35,"CB",1,292,31,1,32.99167,-120.348333,86.7,60,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",38,"CB",1,105,27,1,31.99,-122.393333,86.7,90,"Argyropelecus sladeni",2000,"4",1
4,"JD",45,"CB",1,260,48.1,1,33.24333,-121.441667,83.3,70,"Nannobrachium ritteri",2000,"4",1
4,"JD",46,"CB",1,227,33.1,1,33.575,-120.756667,83.3,60,"Diaphus theta",2000,"4",1
4,"JD",46,"CB",1,292,32.4,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",46,"CB",1,292,36.3,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",46,"CB",1,292,47.9,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"4",1
4,"JD",56,"CB",1,299,21.1,1,33.48833,-122.531667,80,80,"Tarletonbeania crenularis",2000,"4",1
4,"JD",62,"CB",1,260,43.9,1,34.38833,-122.246667,76.7,70,"Nannobrachium ritteri",2000,"4",1
4,"JD",63,"CB",1,260,36,1,34.72167,-121.548333,76.7,60,"Nannobrachium ritteri",2000,"4",1
7,"NH",4,"CB",1,226,27.1,1,32.68,-117.873333,93.3,35,"Ceratoscopelus townsendi",2000,"7",1
7,"NH",4,"CB",1,292,20.6,1,32.68,-117.873333,93.3,35,"Stenobrachius leucopsarus",2000,"7",1
