"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","CalCOFI"
9003,"JD",58,"CB",1,292,1,33.72,-123.633333,76.7,90,"Stenobrachius leucopsarus",1990,"03",1
9003,"JD",58,"MT",1,166,1,33.72,-123.633333,76.7,90,"Cololabis saira",1990,"03",1
9003,"JD",58,"MT",1,296,1,33.72,-123.633333,76.7,90,"Symbolophorus californiensis",1990,"03",1
9003,"JD",62,"MT",1,299,4,34.72167,-121.55,76.7,60,"Tarletonbeania crenularis",1990,"03",1
9003,"JD",63,"CB",1,105,1,34.885,-121.198333,76.7,55,"Argyropelecus sladeni",1990,"03",1
9004,"JD",3,"CB",1,292,2,32.84667,-117.531667,93.3,30,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",3,"CB",1,301,3,32.84667,-117.531667,93.3,30,"Triphoturus mexicanus",1990,"04",1
9004,"JD",4,"MT",1,299,1,32.68,-117.873333,93.3,35,"Tarletonbeania crenularis",1990,"04",1
9004,"JD",4,"MT",1,792,1,32.68,-117.873333,93.3,35,"Syngnathus californiensis",1990,"04",1
9004,"JD",5,"CB",1,301,1,32.51333,-118.215,93.3,40,"Triphoturus mexicanus",1990,"04",1
9004,"JD",13,"CB",1,251,1,30.50167,-122.275,93.3,100,"Hygophum atratum",1990,"04",1
9004,"JD",13,"MT",1,273,1,30.50167,-122.275,93.3,100,"Myctophum nitidulum",1990,"04",1
9004,"JD",13,"MT",1,296,2,30.50167,-122.275,93.3,100,"Symbolophorus californiensis",1990,"04",1
9004,"JD",17,"CB",1,226,1,30.75167,-123.331667,90,110,"Ceratoscopelus townsendi",1990,"04",1
9004,"JD",17,"CB",1,269,1,30.75167,-123.331667,90,110,"Nannobrachium hawaiiensis",1990,"04",1
9004,"JD",17,"MT",1,273,1,30.75167,-123.331667,90,110,"Myctophum nitidulum",1990,"04",1
9004,"JD",17,"MT",1,296,1,30.75167,-123.331667,90,110,"Symbolophorus californiensis",1990,"04",1
9004,"JD",21,"CB",1,162,1,32.085,-120.638333,90,70,"Idiacanthus",1990,"04",1
9004,"JD",21,"CB",1,296,1,32.085,-120.638333,90,70,"Symbolophorus californiensis",1990,"04",1
9004,"JD",25,"CB",1,260,1,32.91833,-118.931667,90,45,"Nannobrachium ritteri",1990,"04",1
9004,"JD",25,"CB",1,292,1,32.91833,-118.931667,90,45,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",25,"MT",1,299,1,32.91833,-118.931667,90,45,"Tarletonbeania crenularis",1990,"04",1
9004,"JD",26,"CB",1,301,1,33.185,-118.381667,90,37,"Triphoturus mexicanus",1990,"04",1
9004,"JD",27,"MT",1,792,2,33.25167,-118.25,90,35,"Syngnathus californiensis",1990,"04",1
9004,"JD",31,"CB",1,292,2,33.82333,-118.628333,86.7,35,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",32,"CB",1,292,1,33.65667,-118.981667,86.7,40,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",43,"CB",1,161,1,33.57833,-120.755,83.3,60,"Idiacanthus antrostomus",1990,"04",1
9004,"JD",43,"MT",1,296,1,33.57833,-120.755,83.3,60,"Symbolophorus californiensis",1990,"04",1
9004,"JD",43,"MT",1,299,4,33.57833,-120.755,83.3,60,"Tarletonbeania crenularis",1990,"04",1
9004,"JD",44,"CB",1,105,1,33.745,-120.41,83.3,55,"Argyropelecus sladeni",1990,"04",1
9004,"JD",44,"CB",1,292,1,33.745,-120.41,83.3,55,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",44,"MT",1,296,1,33.745,-120.41,83.3,55,"Symbolophorus californiensis",1990,"04",1
9004,"JD",44,"MT",1,299,5,33.745,-120.41,83.3,55,"Tarletonbeania crenularis",1990,"04",1
9004,"JD",48,"CB",1,72,1,34.275,-120.025,81.8,46.9,"Leuroglossus stilbius",1990,"04",1
9004,"JD",48,"CB",1,292,1,34.275,-120.025,81.8,46.9,"Stenobrachius leucopsarus",1990,"04",1
9004,"JD",48,"MT",1,736,2,34.275,-120.025,81.8,46.9,"Scorpaenichthys marmoratus",1990,"04",1
9008,"NH",3,"CB",1,227,1,32.84667,-117.531667,93.3,30,"Diaphus theta",1990,"08",1
9008,"NH",3,"MT",1,626,1,32.84667,-117.531667,93.3,30,"Chromis punctipinnis",1990,"08",1
9008,"NH",5,"MT",1,666,1,32.51167,-118.215,93.3,40,"Medialuna californiensis",1990,"08",1
9008,"NH",9,"CB",1,227,2,31.845,-119.573333,93.3,60,"Diaphus theta",1990,"08",1
9008,"NH",9,"MT",1,666,1,31.845,-119.573333,93.3,60,"Medialuna californiensis",1990,"08",1
9008,"NH",13,"CB",1,259,1,30.51,-122.261667,93.3,100,"Nannobrachium regale",1990,"08",1
9008,"NH",14,"CB",1,226,1,30.17833,-122.923333,93.3,110,"Ceratoscopelus townsendi",1990,"08",1
9008,"NH",14,"MT",1,221,1,30.17833,-122.923333,93.3,110,"Centrobranchus nigroocellatus",1990,"08",1
9008,"NH",17,"CB",1,226,2,30.75333,-123.331667,90,110,"Ceratoscopelus townsendi",1990,"08",1
9008,"NH",17,"CB",1,260,1,30.75333,-123.331667,90,110,"Nannobrachium ritteri",1990,"08",1
9008,"NH",17,"CB",1,292,1,30.75333,-123.331667,90,110,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",17,"MT",1,273,1,30.75333,-123.331667,90,110,"Myctophum nitidulum",1990,"08",1
9008,"NH",25,"CB",1,227,1,33.185,-118.386667,90,37,"Diaphus theta",1990,"08",1
9008,"NH",25,"CB",1,301,1,33.185,-118.386667,90,37,"Triphoturus mexicanus",1990,"08",1
9008,"NH",25,"MT",1,296,1,33.185,-118.386667,90,37,"Symbolophorus californiensis",1990,"08",1
9008,"NH",25,"MT",1,666,1,33.185,-118.386667,90,37,"Medialuna californiensis",1990,"08",1
9008,"NH",25,"MT",1,792,1,33.185,-118.386667,90,37,"Syngnathus californiensis",1990,"08",1
9008,"NH",26,"MT",1,299,2,33.25,-118.25,90,35,"Tarletonbeania crenularis",1990,"08",1
9008,"NH",30,"CB",1,292,2,33.82333,-118.628333,86.7,35,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",31,"CB",1,105,1,33.65667,-118.976667,86.7,40,"Argyropelecus sladeni",1990,"08",1
9008,"NH",32,"MT",1,296,1,33.49,-119.321667,86.7,45,"Symbolophorus californiensis",1990,"08",1
9008,"NH",32,"MT",1,299,1,33.49,-119.321667,86.7,45,"Tarletonbeania crenularis",1990,"08",1
9008,"NH",36,"CB",1,292,1,32.65667,-121.033333,86.7,70,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",36,"CB",1,397,1,32.65667,-121.033333,86.7,70,"Melamphaes parvus",1990,"08",1
9008,"NH",36,"CB",1,666,1,32.65667,-121.033333,86.7,70,"Medialuna californiensis",1990,"08",1
9008,"NH",40,"CB",1,166,1,31.32333,-123.745,86.7,110,"Cololabis saira",1990,"08",1
9008,"NH",40,"CB",1,292,2,31.32333,-123.745,86.7,110,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",41,"CB",1,397,1,31.915,-124.17,83.3,110,"Melamphaes parvus",1990,"08",1
9008,"NH",43,"MT",1,792,1,32.58,-122.81,83.3,90,"Syngnathus californiensis",1990,"08",1
9008,"NH",45,"CB",1,58,1,33.25333,-121.44,83.3,70,"Microstoma",1990,"08",1
9008,"NH",49,"MT",1,574,1,34.18,-119.513333,83.3,42,"Scomber japonicus",1990,"08",1
9008,"NH",53,"CB",1,260,1,34.31667,-120.803333,80,55,"Nannobrachium ritteri",1990,"08",1
9008,"NH",53,"CB",1,292,1,34.31667,-120.803333,80,55,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",53,"MT",1,299,1,34.31667,-120.803333,80,55,"Tarletonbeania crenularis",1990,"08",1
9008,"NH",53,"MT",1,792,1,34.31667,-120.803333,80,55,"Syngnathus californiensis",1990,"08",1
9008,"NH",54,"CB",1,292,1,34.14667,-121.155,80,60,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",54,"MT",1,792,1,34.14667,-121.155,80,60,"Syngnathus californiensis",1990,"08",1
9008,"NH",55,"MT",1,689,1,33.81667,-121.838333,80,70,"Sebastes diploproa",1990,"08",1
9008,"NH",57,"CB",1,227,2,33.15,-123.221667,80,90,"Diaphus theta",1990,"08",1
9008,"NH",57,"CB",1,239,1,33.15,-123.221667,80,90,"Diogenichthys atlanticus",1990,"08",1
9008,"NH",61,"CB",1,227,1,34.38833,-122.245,76.7,70,"Diaphus theta",1990,"08",1
9008,"NH",61,"CB",1,292,2,34.38833,-122.245,76.7,70,"Stenobrachius leucopsarus",1990,"08",1
9008,"NH",61,"MT",1,166,1,34.38833,-122.245,76.7,70,"Cololabis saira",1990,"08",1
9011,"NH",3,"CB",1,227,1,32.84667,-117.53,93.3,30,"Diaphus theta",1990,"11",1
9011,"NH",4,"MT",1,221,1,32.68,-117.871667,93.3,35,"Centrobranchus nigroocellatus",1990,"11",1
9011,"NH",5,"CB",1,260,2,32.51333,-118.211667,93.3,40,"Nannobrachium ritteri",1990,"11",1
9011,"NH",5,"CB",1,292,1,32.51333,-118.211667,93.3,40,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",10,"CB",1,93,2,31.51333,-120.245,93.3,70,"Vinciguerria lucetia",1990,"11",1
9011,"NH",10,"MT",1,221,1,31.51333,-120.245,93.3,70,"Centrobranchus nigroocellatus",1990,"11",1
9011,"NH",14,"CB",1,91,1,30.18,-122.923333,93.3,110,"Valenciennellus tripunctulatus",1990,"11",1
9011,"NH",14,"CB",1,221,1,30.18,-122.923333,93.3,110,"Centrobranchus nigroocellatus",1990,"11",1
9011,"NH",14,"CB",1,226,1,30.18,-122.923333,93.3,110,"Ceratoscopelus townsendi",1990,"11",1
9011,"NH",18,"CB",1,239,2,31.08333,-122.661667,90,100,"Diogenichthys atlanticus",1990,"11",1
9011,"NH",18,"CB",1,260,1,31.08333,-122.661667,90,100,"Nannobrachium ritteri",1990,"11",1
9011,"NH",18,"MT",1,221,3,31.08333,-122.661667,90,100,"Centrobranchus nigroocellatus",1990,"11",1
9011,"NH",18,"MT",1,273,1,31.08333,-122.661667,90,100,"Myctophum nitidulum",1990,"11",1
9011,"NH",19,"MT",1,166,1,31.41833,-121.99,90,90,"Cololabis saira",1990,"11",1
9011,"NH",21,"CB",1,227,1,32.085,-120.64,90,70,"Diaphus theta",1990,"11",1
9011,"NH",22,"CB",1,196,1,32.41833,-119.96,90,60,"Scopelosaurus",1990,"11",1
9011,"NH",22,"CB",1,292,1,32.41833,-119.96,90,60,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",25,"MT",1,666,1,33.17333,-118.391667,90,37,"Medialuna californiensis",1990,"11",1
9011,"NH",25,"MT",1,792,1,33.17333,-118.391667,90,37,"Syngnathus californiensis",1990,"11",1
9011,"NH",26,"MT",1,666,1,33.25333,-118.25,90,35,"Medialuna californiensis",1990,"11",1
9011,"NH",27,"MT",1,296,5,33.41833,-117.903333,90,30,"Symbolophorus californiensis",1990,"11",1
9011,"NH",27,"MT",1,299,1,33.41833,-117.903333,90,30,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",27,"MT",1,301,1,33.41833,-117.903333,90,30,"Triphoturus mexicanus",1990,"11",1
9011,"NH",27,"MT",1,629,1,33.41833,-117.903333,90,30,"Mugil cephalus",1990,"11",1
9011,"NH",28,"CB",1,292,1,33.485,-117.77,90,28,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",29,"MT",1,656,3,33.89167,-118.491667,86.7,33,"Girella nigricans",1990,"11",1
9011,"NH",32,"CB",1,259,1,33.49,-119.318333,86.7,45,"Nannobrachium regale",1990,"11",1
9011,"NH",32,"CB",1,301,1,33.49,-119.318333,86.7,45,"Triphoturus mexicanus",1990,"11",1
9011,"NH",32,"MT",1,296,2,33.49,-119.318333,86.7,45,"Symbolophorus californiensis",1990,"11",1
9011,"NH",32,"MT",1,299,1,33.49,-119.318333,86.7,45,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",32,"MT",1,629,1,33.49,-119.318333,86.7,45,"Mugil cephalus",1990,"11",1
9011,"NH",37,"MT",1,296,6,32.32167,-121.716667,86.7,80,"Symbolophorus californiensis",1990,"11",1
9011,"NH",37,"MT",1,299,1,32.32167,-121.716667,86.7,80,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",37,"MT",1,629,1,32.32167,-121.716667,86.7,80,"Mugil cephalus",1990,"11",1
9011,"NH",37,"MT",1,666,1,32.32167,-121.716667,86.7,80,"Medialuna californiensis",1990,"11",1
9011,"NH",38,"CB",1,162,1,31.99,-122.391667,86.7,90,"Idiacanthus",1990,"11",1
9011,"NH",38,"CB",1,227,1,31.99,-122.391667,86.7,90,"Diaphus theta",1990,"11",1
9011,"NH",38,"CB",1,260,1,31.99,-122.391667,86.7,90,"Nannobrachium ritteri",1990,"11",1
9011,"NH",38,"MT",1,296,9,31.99,-122.391667,86.7,90,"Symbolophorus californiensis",1990,"11",1
9011,"NH",38,"MT",1,792,1,31.99,-122.391667,86.7,90,"Syngnathus californiensis",1990,"11",1
9011,"NH",42,"CB",1,93,2,32.245,-123.491667,83.3,100,"Vinciguerria lucetia",1990,"11",1
9011,"NH",42,"CB",1,226,1,32.245,-123.491667,83.3,100,"Ceratoscopelus townsendi",1990,"11",1
9011,"NH",42,"MT",1,221,1,32.245,-123.491667,83.3,100,"Centrobranchus nigroocellatus",1990,"11",1
9011,"NH",42,"MT",1,273,1,32.245,-123.491667,83.3,100,"Myctophum nitidulum",1990,"11",1
9011,"NH",42,"MT",1,296,1,32.245,-123.491667,83.3,100,"Symbolophorus californiensis",1990,"11",1
9011,"NH",46,"MT",1,296,3,33.24333,-121.443333,83.3,70,"Symbolophorus californiensis",1990,"11",1
9011,"NH",46,"MT",1,299,3,33.24333,-121.443333,83.3,70,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",47,"CB",1,162,1,33.57833,-120.756667,83.3,60,"Idiacanthus",1990,"11",1
9011,"NH",47,"CB",1,288,1,33.57833,-120.756667,83.3,60,"Protomyctophum crockeri",1990,"11",1
9011,"NH",47,"MT",1,288,4,33.57833,-120.756667,83.3,60,"Protomyctophum crockeri",1990,"11",1
9011,"NH",51,"MT",1,789,1,34.225,-119.41,83.3,40.6,"Cosmocampus arctus",1990,"11",1
9011,"NH",52,"CB",1,72,4,34.275,-120.023333,81.8,46.9,"Leuroglossus stilbius",1990,"11",1
9011,"NH",52,"CB",1,292,2,34.275,-120.023333,81.8,46.9,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",53,"MT",1,629,1,34.45,-120.521667,80,51,"Mugil cephalus",1990,"11",1
9011,"NH",58,"CB",1,260,3,33.81667,-121.843333,80,70,"Nannobrachium ritteri",1990,"11",1
9011,"NH",58,"MT",1,166,1,33.81667,-121.843333,80,70,"Cololabis saira",1990,"11",1
9011,"NH",58,"MT",1,296,3,33.81667,-121.843333,80,70,"Symbolophorus californiensis",1990,"11",1
9011,"NH",58,"MT",1,299,1,33.81667,-121.843333,80,70,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",58,"MT",1,301,1,33.81667,-121.843333,80,70,"Triphoturus mexicanus",1990,"11",1
9011,"NH",58,"MT",1,792,8,33.81667,-121.843333,80,70,"Syngnathus californiensis",1990,"11",1
9011,"NH",59,"CB",1,260,3,33.48333,-122.533333,80,80,"Nannobrachium ritteri",1990,"11",1
9011,"NH",59,"CB",1,296,1,33.48333,-122.533333,80,80,"Symbolophorus californiensis",1990,"11",1
9011,"NH",59,"CB",1,301,3,33.48333,-122.533333,80,80,"Triphoturus mexicanus",1990,"11",1
9011,"NH",59,"MT",1,166,3,33.48333,-122.533333,80,80,"Cololabis saira",1990,"11",1
9011,"NH",59,"MT",1,296,4,33.48333,-122.533333,80,80,"Symbolophorus californiensis",1990,"11",1
9011,"NH",59,"MT",1,299,1,33.48333,-122.533333,80,80,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",62,"CB",1,78,1,33.38833,-124.323333,76.7,100,"Cyclothone signata",1990,"11",1
9011,"NH",62,"CB",1,226,1,33.38833,-124.323333,76.7,100,"Ceratoscopelus townsendi",1990,"11",1
9011,"NH",62,"CB",1,239,2,33.38833,-124.323333,76.7,100,"Diogenichthys atlanticus",1990,"11",1
9011,"NH",62,"CB",1,260,1,33.38833,-124.323333,76.7,100,"Nannobrachium ritteri",1990,"11",1
9011,"NH",62,"MT",1,273,3,33.38833,-124.323333,76.7,100,"Myctophum nitidulum",1990,"11",1
9011,"NH",63,"CB",1,226,1,33.72167,-123.633333,76.7,90,"Ceratoscopelus townsendi",1990,"11",1
9011,"NH",63,"CB",1,239,1,33.72167,-123.633333,76.7,90,"Diogenichthys atlanticus",1990,"11",1
9011,"NH",63,"CB",1,260,2,33.72167,-123.633333,76.7,90,"Nannobrachium ritteri",1990,"11",1
9011,"NH",63,"MT",1,273,2,33.72167,-123.633333,76.7,90,"Myctophum nitidulum",1990,"11",1
9011,"NH",65,"CB",1,292,1,34.37333,-122.276667,76.7,70,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",65,"CB",1,301,1,34.37333,-122.276667,76.7,70,"Triphoturus mexicanus",1990,"11",1
9011,"NH",66,"CB",1,260,1,34.72333,-121.548333,76.7,60,"Nannobrachium ritteri",1990,"11",1
9011,"NH",66,"CB",1,292,1,34.72333,-121.548333,76.7,60,"Stenobrachius leucopsarus",1990,"11",1
9011,"NH",66,"MT",1,296,4,34.72333,-121.548333,76.7,60,"Symbolophorus californiensis",1990,"11",1
9011,"NH",66,"MT",1,299,23,34.72333,-121.548333,76.7,60,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",67,"CB",1,227,1,34.88833,-121.198333,76.7,55,"Diaphus theta",1990,"11",1
9011,"NH",67,"CB",1,299,1,34.88833,-121.198333,76.7,55,"Tarletonbeania crenularis",1990,"11",1
9011,"NH",67,"MT",1,166,2,34.88833,-121.198333,76.7,55,"Cololabis saira",1990,"11",1
9011,"NH",67,"MT",1,299,18,34.88833,-121.198333,76.7,55,"Tarletonbeania crenularis",1990,"11",1
9101,"JD",2,"CB",1,121,1,32.91333,-117.393333,93.3,28,"Stomias atriventer",1991,"01",1
9101,"JD",2,"CB",1,259,1,32.91333,-117.393333,93.3,28,"Nannobrachium regale",1991,"01",1
9101,"JD",2,"CB",1,301,25,32.91333,-117.393333,93.3,28,"Triphoturus mexicanus",1991,"01",1
9101,"JD",3,"CB",1,292,1,32.84833,-117.533333,93.3,30,"Stenobrachius leucopsarus",1991,"01",1
9101,"JD",3,"CB",1,301,11,32.84833,-117.533333,93.3,30,"Triphoturus mexicanus",1991,"01",1
9101,"JD",4,"CB",1,301,3,32.68,-117.871667,93.3,35,"Triphoturus mexicanus",1991,"01",1
9101,"JD",6,"CB",1,311,1,32.34667,-118.553333,93.3,45,"Lestidiops ringens",1991,"01",1
9101,"JD",9,"CB",1,260,1,31.84833,-119.57,93.3,60,"Nannobrachium ritteri",1991,"01",1
9101,"JD",12,"CB",1,227,1,30.84167,-121.59,93.3,90,"Diaphus theta",1991,"01",1
9101,"JD",12,"CB",1,301,1,30.84167,-121.59,93.3,90,"Triphoturus mexicanus",1991,"01",1
9101,"JD",14,"CB",1,365,1,30.18167,-122.921667,93.3,110,"Nemichthys scolopaceus",1991,"01",1
9101,"JD",15,"CB",1,281,1,29.84667,-123.586667,93.3,120,"Notolychnus valdiviae",1991,"01",1
9101,"JD",15,"CB",1,301,1,29.84667,-123.586667,93.3,120,"Triphoturus mexicanus",1991,"01",1
9101,"JD",16,"CB",1,1,1,30.42,-123.998333,90,120,"Unidentified Teleost",1991,"01",1
9101,"JD",16,"CB",1,161,1,30.42,-123.998333,90,120,"Idiacanthus antrostomus",1991,"01",1
9101,"JD",16,"CB",1,259,3,30.42,-123.998333,90,120,"Nannobrachium regale",1991,"01",1
9101,"JD",16,"CB",1,281,1,30.42,-123.998333,90,120,"Notolychnus valdiviae",1991,"01",1
9101,"JD",19,"CB",1,239,1,31.41667,-121.985,90,90,"Diogenichthys atlanticus",1991,"01",1
9101,"JD",19,"CB",1,259,1,31.41667,-121.985,90,90,"Nannobrachium regale",1991,"01",1
9101,"JD",19,"CB",1,281,1,31.41667,-121.985,90,90,"Notolychnus valdiviae",1991,"01",1
9101,"JD",19,"CB",1,301,1,31.41667,-121.985,90,90,"Triphoturus mexicanus",1991,"01",1
9101,"JD",19,"CB",1,396,1,31.41667,-121.985,90,90,"Melamphaes lugubris",1991,"01",1
9101,"JD",23,"CB",1,301,1,32.655,-119.48,90,53,"Triphoturus mexicanus",1991,"01",1
9101,"JD",24,"CB",1,260,1,32.91833,-118.933333,90,45,"Nannobrachium ritteri",1991,"01",1
9101,"JD",24,"CB",1,301,5,32.91833,-118.933333,90,45,"Triphoturus mexicanus",1991,"01",1
9101,"JD",28,"CB",1,161,1,33.41833,-117.903333,90,30,"Idiacanthus antrostomus",1991,"01",1
9101,"JD",36,"CB",1,161,1,32.65667,-121.033333,86.7,70,"Idiacanthus antrostomus",1991,"01",1
9101,"JD",36,"CB",1,259,1,32.65667,-121.033333,86.7,70,"Nannobrachium regale",1991,"01",1
9101,"JD",37,"CB",1,260,1,32.32667,-121.715,86.7,80,"Nannobrachium ritteri",1991,"01",1
9101,"JD",37,"CB",1,301,1,32.32667,-121.715,86.7,80,"Triphoturus mexicanus",1991,"01",1
9101,"JD",41,"CB",1,105,1,32.91167,-122.126667,83.3,80,"Argyropelecus sladeni",1991,"01",1
9101,"JD",42,"CB",1,252,1,33.24333,-121.443333,83.3,70,"Hygophum reinhardtii",1991,"01",1
9101,"JD",42,"CB",1,259,1,33.24333,-121.443333,83.3,70,"Nannobrachium regale",1991,"01",1
9101,"JD",42,"CB",1,260,2,33.24333,-121.443333,83.3,70,"Nannobrachium ritteri",1991,"01",1
9101,"JD",42,"CB",1,301,1,33.24333,-121.443333,83.3,70,"Triphoturus mexicanus",1991,"01",1
9101,"JD",51,"CB",1,101,1,34.15,-121.15,80,60,"Argyropelecus",1991,"01",1
9101,"JD",51,"CB",1,105,1,34.15,-121.15,80,60,"Argyropelecus sladeni",1991,"01",1
9101,"JD",51,"CB",1,260,1,34.15,-121.15,80,60,"Nannobrachium ritteri",1991,"01",1
9101,"JD",52,"CB",1,161,1,33.81667,-121.843333,80,70,"Idiacanthus antrostomus",1991,"01",1
9101,"JD",52,"CB",1,227,3,33.81667,-121.843333,80,70,"Diaphus theta",1991,"01",1
9101,"JD",52,"CB",1,260,2,33.81667,-121.843333,80,70,"Nannobrachium ritteri",1991,"01",1
9101,"JD",52,"CB",1,296,1,33.81667,-121.843333,80,70,"Symbolophorus californiensis",1991,"01",1
9101,"JD",52,"CB",1,301,1,33.81667,-121.843333,80,70,"Triphoturus mexicanus",1991,"01",1
9101,"JD",55,"CB",1,260,3,32.81667,-123.906667,80,100,"Nannobrachium ritteri",1991,"01",1
9101,"JD",55,"CB",1,281,1,32.81667,-123.906667,80,100,"Notolychnus valdiviae",1991,"01",1
9101,"JD",56,"CB",1,221,1,33.38667,-124.323333,76.7,100,"Centrobranchus nigroocellatus",1991,"01",1
9101,"JD",59,"CB",1,292,1,34.38833,-122.246667,76.7,70,"Stenobrachius leucopsarus",1991,"01",1
9101,"JD",60,"CB",1,227,1,34.72333,-121.548333,76.7,60,"Diaphus theta",1991,"01",1
9101,"JD",60,"CB",1,292,1,34.72333,-121.548333,76.7,60,"Stenobrachius leucopsarus",1991,"01",1
9101,"JD",60,"CB",1,299,1,34.72333,-121.548333,76.7,60,"Tarletonbeania crenularis",1991,"01",1
9101,"JD",60,"CB",1,301,1,34.72333,-121.548333,76.7,60,"Triphoturus mexicanus",1991,"01",1
9103,"JD",9,"CB",1,260,1,31.84667,-119.57,93.3,60,"Nannobrachium ritteri",1991,"03",1
9103,"JD",12,"CB",1,260,1,30.845,-121.588333,93.3,90,"Nannobrachium ritteri",1991,"03",1
9103,"JD",17,"CB",1,252,1,30.41833,-123.998333,90,120,"Hygophum reinhardtii",1991,"03",1
