Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
39,309,60,60,60,60,60.6,373650,1233629,650110,1965,38,0.4828,0.1488,0.0736,0.176,0,0.013,0.018,0.06,0.267,0.071,0,,
473,310,100,30,100,30,100.3,314109,1164636,650130,1965,35,0.4171,0.1263,0.0596,0.113,0,0,0.008,0.099,0.22,0.175,0,,
485,311,113.3,35,113,35,113.35,291603,1153954,640727,1964,23.5,0.0681,0.0195,0.0043,0.054,0,0.01,0,0.024,0.088,0.108,0,,
521,312,80.47666,87.22319,,,,331600,1183800,720412,1972,40,0.6207,0.1991,0.1101,0.18,0,0,0.043,0.029,0.252,0,0,Fresh sample,
522,313,80.52814,87.25571,,,,331500,1183800,720412,1972,42,0.8089,0.3285,0.2314,0.325,0.01,0.014,0.053,0.04,0.442,0.091,0,Fresh sample,
523,314,80.52814,87.25571,,,,331500,1183800,720412,1972,51,1.495,,,,,,,,,,1,Sample appears lost - consider removing. Was a fresh sample. ,
78,315,70,100,70,100,70.1,343255,1251046,611014,1961,21,0.0872,0.0119,0.0018,0.026,0,0.006,0.002,0.016,0.05,0.036,0,,
112,316,73.3,53,73,53,73.53,353544,1213014,620113,1962,32,0.2829,0.1242,0.0685,0.224,0,0.012,0.035,0.084,0.355,0.24,0,,
113,317,73.3,53,73,53,73.53,353544,1213014,620113,1962,34,0.3384,0.1602,0.0835,0.121,0,0.015,0.019,0.034,0.189,0.155,0,,
411,318,93.3,28,93,28,93.28,325754,1172541,610422,1961,34,0.2327,0.1078,0.0349,0.808,0,0.052,0.101,0.283,1.244,0.33,0,,
425,319,93.3,30,93,30,93.3,325354,1173354,640410,1964,31,0.2212,0.0562,0.0221,1.886,0.037,0.112,0.127,0.272,2.434,0.118,0,,
178,320,80,70,80,70,80.7,334859,1215035,641004,1964,30.5,0.212,0.0664,0.0274,0.089,0,0,0,0.124,0.213,0.208,0,,
444,321,93.3,50,93,50,93.5,321353,1185543,611021,1961,25,0.1216,0.0227,0.0068,0.119,0,0.003,0.019,0.181,0.322,1.184,0,,
127,322,76,63,76,63,76.63,371700,1242100,640121,1964,34,0.2819,0.0875,0.042,0.165,0,0.033,0.061,0.144,0.403,0.065,0,,
55,323,60,80,60,80,60.8,365650,1250311,600926,1960,21.5,0.0602,0.0086,,0.014,0,0.004,0.001,0.015,0.034,0.146,0,,
54,324,60,80,60,80,60.8,365650,1250311,600123,1960,26,0.1745,0.0354,0.012,0.079,0,0.006,0.006,0.045,0.136,0.214,0,,
189,325,80,80,80,80,80.8,332900,1223200,600923,1960,24.5,0.1045,0.0252,0.0076,0.138,0,0.03,0.037,0.179,0.384,0.213,0,,
414,326,93.3,28,93,28,93.28,325754,1172541,640410,1964,50,1.097,0.3494,0.1804,1.101,0,0.112,0.115,0.248,1.576,0,0,,
135,327,76.7,55,77,55,77.55,345010,1210943,640423,1964,76,4.2813,1.3089,0.7024,0.334,0,0.031,0.039,0.111,0.515,0,0,,
144,328,79,60,79,60,79.6,341923,1211613,640117,1964,56,1.7805,0.5652,0.294,0.239,0,0.005,0.025,0.035,0.304,0.131,0,,
424,329,93.3,30,93,30,93.3,325354,1173354,600718,1960,63,2.4776,0.773,0.4125,0.301,0,0.061,0.059,0.251,0.672,0,0,,
50,330,60,70,60,70,60.7,371650,1241956,640428,1964,55,1.5306,0.5288,0.2624,0.148,0,0.002,0.022,0.127,0.299,0.168,0,,
143,331,79,53,79,53,79.53,343323,1204657,640621,1964,47,1.0522,0.348,0.1781,0.206,0.005,0.006,0.026,0.027,0.27,0.053,0,,
126,332,76,57,76,57,76.57,,,640122,1964,77,4.6154,1.506,0.7813,0.523,0,0.006,0.03,0.111,0.67,0.374,0,,
524,333,,,,,,,,720412,1972,50,1.0442,0.3269,0.1617,0.289,0.006,0.005,0.042,0.036,0.378,0.02,0,,
90,334,70,55,70,55,70.55,360255,1220037,590719,1959,52,1.4444,0.4799,0.2407,0.082,0.015,0.011,0.015,0.069,0.192,0.051,0,,
412,335,93.3,28,93,28,93.28,325754,1172541,620414,1962,59,1.7689,0.5595,0.2835,0.941,0.018,0.053,0.103,0.367,1.482,0.07,0,,
168,336,80,65,80,65,80.65,335900,1212948,620317,1962,29,0.2521,0.0609,0.0254,0.064,0,0,0.005,0.046,0.115,0.467,0,,
96,337,70,60,70,60,70.6,355255,1222156,611016,1961,51,1.1328,0.3923,0.2028,0.165,0.005,0.018,0.023,0.086,0.297,0,0,,
163,338,80,60,80,60,80.6,340900,1210900,590613,1959,68,2.8568,1.0117,0.5095,0.076,0,0.003,0.017,0.058,0.154,0.241,0,,
138,339,76.7,60,77,60,77.6,344010,1213043,570512,1957,46,0.8361,0.3596,0.1414,0.125,0.005,0,0.037,0.093,0.26,0.182,0,,
